"sig_classe_proces","nom_ministro","total_decs"
"EV","MIN. ILMAR GALVÃO","5"
"Ext","MINISTRO PRESIDENTE","126"
"Ext","MIN. SYDNEY SANCHES","119"
"Ext","MIN. SEPÚLVEDA PERTENCE","124"
"Ext","MIN. RICARDO LEWANDOWSKI","106"
"Ext","MIN. OCTAVIO GALLOTTI","39"
"Ext","MIN. NÉRI DA SILVEIRA","152"
"Ext","MIN. NELSON JOBIM","211"
"Ext","MIN. MOREIRA ALVES","63"
"Ext","MIN. MENEZES DIREITO","49"
"Ext","MIN. MAURÍCIO CORRÊA","119"
"Ext","MIN. MARCO AURÉLIO","338"
"Ext","MIN. LUIZ FUX","3"
"Ext","MIN. JOAQUIM BARBOSA","178"
"Ext","MIN. ILMAR GALVÃO","56"
"Ext","MIN. GILMAR MENDES","136"
"Ext","MIN. FRANCISCO REZEK","6"
"Ext","MIN. EROS GRAU","184"
"Ext","MIN. ELLEN GRACIE","208"
"Ext","MIN. DIAS TOFFOLI","101"
"Ext","MIN. CÁRMEN LÚCIA","61"
"Ext","MIN. CEZAR PELUSO","169"
"Ext","MIN. CELSO DE MELLO","183"
"Ext","MIN. CARLOS VELLOSO","491"
"Ext","MIN. AYRES BRITTO","123"
"HC","VICE-PRESIDENTE","8"
"HC","MINISTRO PRESIDENTE","2369"
"HC","MIN. SYDNEY SANCHES","829"
"HC","MIN. SEPÚLVEDA PERTENCE","2159"
"HC","MIN. RICARDO LEWANDOWSKI","3409"
"HC","MIN. OCTAVIO GALLOTTI","653"
"HC","MIN. NÉRI DA SILVEIRA","730"
"HC","MIN. NELSON JOBIM","1737"
"HC","MIN. MOREIRA ALVES","787"
"HC","MIN. MENEZES DIREITO","865"
"HC","MIN. MAURÍCIO CORRÊA","1284"
"HC","MIN. MARCO AURÉLIO","6359"
"HC","MIN. LUIZ FUX","284"
"HC","MIN. JOAQUIM BARBOSA","3187"
"HC","MIN. ILMAR GALVÃO","788"
"HC","MIN. GILMAR MENDES","2205"
"HC","MIN. FRANCISCO REZEK","60"
"HC","MIN. EROS GRAU","3353"
"HC","MIN. ELLEN GRACIE","3575"
"HC","MIN. DIAS TOFFOLI","1597"
"HC","MIN. CÁRMEN LÚCIA","2503"
"HC","MIN. CEZAR PELUSO","3486"
"HC","MIN. CELSO DE MELLO","3276"
"HC","MIN. CARLOS VELLOSO","2118"
"HC","MIN. AYRES BRITTO","2799"
"HD","MINISTRO PRESIDENTE","6"
"HD","MIN. SYDNEY SANCHES","1"
"HD","MIN. SEPÚLVEDA PERTENCE","6"
"HD","MIN. RICARDO LEWANDOWSKI","3"
"HD","MIN. OCTAVIO GALLOTTI","1"
"HD","MIN. NÉRI DA SILVEIRA","1"
"HD","MIN. NELSON JOBIM","3"
"HD","MIN. MOREIRA ALVES","2"
"HD","MIN. MENEZES DIREITO","1"
"HD","MIN. MAURÍCIO CORRÊA","5"
"HD","MIN. MARCO AURÉLIO","2"
"HD","MIN. JOAQUIM BARBOSA","5"
"HD","MIN. GILMAR MENDES","4"
"HD","MIN. FRANCISCO REZEK","1"
"HD","MIN. EROS GRAU","2"
"HD","MIN. ELLEN GRACIE","7"
"HD","MIN. CÁRMEN LÚCIA","4"
"HD","MIN. CEZAR PELUSO","3"
"HD","MIN. CELSO DE MELLO","3"
"HD","MIN. CARLOS VELLOSO","2"
"HD","MIN. AYRES BRITTO","4"
"IF","MINISTRO PRESIDENTE","2426"
"IF","MIN. NELSON JOBIM","1154"
"IF","MIN. MAURÍCIO CORRÊA","4267"
"IF","MIN. MARCO AURÉLIO","12140"
"IF","MIN. ILMAR GALVÃO","1"
"IF","MIN. GILMAR MENDES","102"
"IF","MIN. ELLEN GRACIE","328"
"IF","MIN. CEZAR PELUSO","8"
"IF","MIN. CELSO DE MELLO","5"
"IF","MIN. CARLOS VELLOSO","1688"
"IF","MIN. AYRES BRITTO","1"
"Inq","MINISTRO PRESIDENTE","54"
"Inq","MIN. SYDNEY SANCHES","179"
"Inq","MIN. SEPÚLVEDA PERTENCE","196"
"Inq","MIN. RICARDO LEWANDOWSKI","264"
"Inq","MIN. OCTAVIO GALLOTTI","33"
"Inq","MIN. NÉRI DA SILVEIRA","89"
"Inq","MIN. NELSON JOBIM","155"
"Inq","MIN. MOREIRA ALVES","128"
"Inq","MIN. MENEZES DIREITO","52"
"Inq","MIN. MAURÍCIO CORRÊA","160"
"Inq","MIN. MARCO AURÉLIO","306"
"Inq","MIN. LUIZ FUX","20"
"Inq","MIN. JOAQUIM BARBOSA","289"
"Inq","MIN. ILMAR GALVÃO","92"
"Inq","MIN. GILMAR MENDES","129"
"Inq","MIN. FRANCISCO REZEK","5"
"Inq","MIN. EROS GRAU","194"
"Inq","MIN. ELLEN GRACIE","189"
"Inq","MIN. DIAS TOFFOLI","108"
"Inq","MIN. CÁRMEN LÚCIA","24"
"Inq","MIN. CEZAR PELUSO","169"
"Inq","MIN. CELSO DE MELLO","259"
"Inq","MIN. CARLOS VELLOSO","282"
"Inq","MIN. AYRES BRITTO","105"
"MI","MINISTRO PRESIDENTE","212"
"MI","MIN. SYDNEY SANCHES","15"
"MI","MIN. SEPÚLVEDA PERTENCE","27"
"MI","MIN. RICARDO LEWANDOWSKI","711"
"MI","MIN. OCTAVIO GALLOTTI","25"
"MI","MIN. NÉRI DA SILVEIRA","14"
"MI","MIN. NELSON JOBIM","36"
"MI","MIN. MOREIRA ALVES","18"
"MI","MIN. MENEZES DIREITO","42"
"MI","MIN. MAURÍCIO CORRÊA","39"
"MI","MIN. MARCO AURÉLIO","908"
"MI","MIN. LUIZ FUX","71"
"MI","MIN. JOAQUIM BARBOSA","419"
"MI","MIN. ILMAR GALVÃO","25"
"MI","MIN. GILMAR MENDES","447"
"MI","MIN. FRANCISCO REZEK","1"
"MI","MIN. EROS GRAU","533"
"MI","MIN. ELLEN GRACIE","485"
"MI","MIN. DIAS TOFFOLI","336"
"MI","MIN. CÁRMEN LÚCIA","646"
"MI","MIN. CEZAR PELUSO","262"
"MI","MIN. CELSO DE MELLO","419"
"MI","MIN. CARLOS VELLOSO","60"
"MI","MIN. AYRES BRITTO","307"
"MS","VICE-PRESIDENTE","4"
"MS","MINISTRO PRESIDENTE","745"
"MS","MIN. SYDNEY SANCHES","233"
"MS","MIN. SEPÚLVEDA PERTENCE","581"
"MS","MIN. RICARDO LEWANDOWSKI","753"
"MS","MIN. OCTAVIO GALLOTTI","148"
"MS","MIN. NÉRI DA SILVEIRA","263"
"MS","MIN. NELSON JOBIM","593"
"MS","MIN. MOREIRA ALVES","205"
"MS","MIN. MENEZES DIREITO","156"
"MS","MIN. MAURÍCIO CORRÊA","471"
"MS","MIN. MARCO AURÉLIO","1802"
"MS","MIN. LUIZ FUX","29"
"MS","MIN. JOAQUIM BARBOSA","887"
"MS","MIN. ILMAR GALVÃO","237"
"MS","MIN. GILMAR MENDES","735"
"MS","MIN. FRANCISCO REZEK","20"
"MS","MIN. EROS GRAU","778"
"MS","MIN. ELLEN GRACIE","1131"
"MS","MIN. DIAS TOFFOLI","347"
"MS","MIN. CÁRMEN LÚCIA","562"
"MS","MIN. CEZAR PELUSO","734"
"MS","MIN. CELSO DE MELLO","802"
"MS","MIN. CARLOS VELLOSO","829"
"MS","MIN. AYRES BRITTO","1312"
"OACO","MIN. NELSON JOBIM","2"
"PETA","MINISTRO PRESIDENTE","12"
"PETA","MIN. MAURÍCIO CORRÊA","4"
"PETAV","MINISTRO PRESIDENTE","2"
"PETAV","MIN. MAURÍCIO CORRÊA","1"
"PPE","MINISTRO PRESIDENTE","31"
"PPE","MIN. SYDNEY SANCHES","76"
"PPE","MIN. SEPÚLVEDA PERTENCE","39"
"PPE","MIN. RICARDO LEWANDOWSKI","25"
"PPE","MIN. OCTAVIO GALLOTTI","15"
"PPE","MIN. NÉRI DA SILVEIRA","27"
"PPE","MIN. NELSON JOBIM","65"
"PPE","MIN. MOREIRA ALVES","35"
"PPE","MIN. MAURÍCIO CORRÊA","39"
"PPE","MIN. MARCO AURÉLIO","71"
"PPE","MIN. JOAQUIM BARBOSA","53"
"PPE","MIN. ILMAR GALVÃO","59"
"PPE","MIN. GILMAR MENDES","39"
"PPE","MIN. FRANCISCO REZEK","5"
"PPE","MIN. EROS GRAU","31"
"PPE","MIN. ELLEN GRACIE","51"
"PPE","MIN. DIAS TOFFOLI","22"
"PPE","MIN. CÁRMEN LÚCIA","22"
"PPE","MIN. CEZAR PELUSO","35"
"PPE","MIN. CELSO DE MELLO","42"
"PPE","MIN. CARLOS VELLOSO","84"
"PPE","MIN. AYRES BRITTO","27"
"PSV","MINISTRO PRESIDENTE","19"
"PSV","MIN. RICARDO LEWANDOWSKI","33"
"PSV","MIN. JOAQUIM BARBOSA","10"
"PSV","MIN. ELLEN GRACIE","90"
"PSV","MIN. CEZAR PELUSO","2"
"PSV","MIN. AYRES BRITTO","3"
"Pet","MINISTRO PRESIDENTE","287"
"Pet","MIN. SYDNEY SANCHES","199"
"Pet","MIN. SEPÚLVEDA PERTENCE","316"
"Pet","MIN. RICARDO LEWANDOWSKI","189"
"Pet","MIN. OCTAVIO GALLOTTI","107"
"Pet","MIN. NÉRI DA SILVEIRA","216"
"Pet","MIN. NELSON JOBIM","329"
"Pet","MIN. MOREIRA ALVES","140"
"Pet","MIN. MENEZES DIREITO","65"
"Pet","MIN. MAURÍCIO CORRÊA","380"
"Pet","MIN. MARCO AURÉLIO","1139"
"Pet","MIN. LUIZ FUX","3"
"Pet","MIN. JOAQUIM BARBOSA","193"
"Pet","MIN. ILMAR GALVÃO","204"
"Pet","MIN. GILMAR MENDES","164"
"Pet","MIN. FRANCISCO REZEK","10"
"Pet","MIN. EROS GRAU","298"
"Pet","MIN. ELLEN GRACIE","430"
"Pet","MIN. DIAS TOFFOLI","49"
"Pet","MIN. CÁRMEN LÚCIA","98"
"Pet","MIN. CEZAR PELUSO","252"
"Pet","MIN. CELSO DE MELLO","340"
"Pet","MIN. CARLOS VELLOSO","888"
"Pet","MIN. AYRES BRITTO","283"
"RC","MIN. MAURÍCIO CORRÊA","2"
"RC","MIN. JOAQUIM BARBOSA","2"
"RC","MIN. ILMAR GALVÃO","1"
"RC","MIN. CARLOS VELLOSO","1"
"RE","MINISTRO PRESIDENTE","1777"
"RE","MIN. SYDNEY SANCHES","16813"
"RE","MIN. SEPÚLVEDA PERTENCE","35127"
"RE","MIN. RICARDO LEWANDOWSKI","18998"
"RE","MIN. OCTAVIO GALLOTTI","6099"
"RE","MIN. NÉRI DA SILVEIRA","12459"
